CODEVALUE,ID,STATUS,PREFLABEL_FI,PREFLABEL_SV,PREFLABEL_EN,DESCRIPTION_FI,DESCRIPTION_SV,DESCRIPTION_EN,SHORTNAME,HIERARCHYLEVEL,STARTDATE,ENDDATE
v1120,8a4a6897-2d2f-4eb1-bca9-662b9175ff89,VALID,Eläkkeet,Pensioner,Pensions,Tässä palveluluokassa käsitellään palvelunäkökulmasta Suomen lakisääteisten eläkkeiden tyyppejä sekä ulkomailla pysyvästi asuvan eläketurvaa niin ulkosuomalaisen kuin Suomessa asuvan maahanmuuttajan kannalta.,I denna servicegrupp behandlas ur ett serviceperspektiv typer av lagstadgade pensioner i Finland samt pensionsskyddet för personer som är permanent bosatta i utlandet med tanke på både finländare bosatta utomlands och invandrare bosatta i Finland.,This service class contains the Finnish statutory pension types and the pension security of those permanently resident abroad from the perspective of both expatriate Finns and immigrants residing in Finland from the service point of view.,,,,
v1121,b639c66c-d3c4-42bc-bea9-72c9152625cc,VALID,Kansaneläke,Folkpension,National pension,Tähän palvelualaluokkaan kuuluvat palvelunäkökulmasta kansaneläkkeeseen ja takuueläkkeeseen liittyvät asiat.,Denna underservicegrupp omfattar ärenden relaterade till folkpension och garantipension ur ett serviceperspektiv.,This service subclass contains issues related to the national pension and guarantee pension from the service point of view.,,,,
v1122,ccc48078-f29b-4e3b-b7cc-1f50c70ae738,VALID,Työeläkkeet,Arbetspensioner,Earnings-related pensions,Tässä palvelualaluokassa käsitellään palvelunäkökulmasta työperusteisia eläkkeitä: työeläkettä sekä kuntien ja valtion eläkkeitä. Myös eläkevakuutus kuuluu tähän luokkaan.,I denna underservicegrupp behandlas arbetsbaserade pensioner ur ett serviceperspektiv: arbetspension samt kommunernas och statens pensioner. Även pensionsförsäkring hör till denna grupp.,This service subclass contains earnings-related pensions from the service point of view: earnings-related pensions for private sector employees and local and central government employees. The class also includes pension insurance.,,,,
v1123,e8fe828c-a1ac-4836-95c5-67821b129844,VALID,Työkyvyttömyyseläke,Invalidpension,Disability pension,Tähän palvelualaluokkaan kuuluvat työkyttömyyden toteamiseen sekä erilaisiin työkyvyttömyyseläkkeen tyyppeihin liittyvät palvelut.,Denna underservicegrupp omfattar tjänster relaterade till konstaterande av arbetsoförmåga och olika typer av invalidpension.,This service class contains services related to establishing disability and different types of disability pensions.,,,,
v1124,49a8d882-0cef-49a0-87d8-f8462f689d63,VALID,Suomalaisen eläketurva ulkomailla,Finländares pensionsskydd utomlands,Pension security for expatriate Finns,"Tässä palvelualaluokassa käsitellään ulkomailla tehdyn työn eläkevaikutukset Suomen kansalaiselle sekä tilanteet, joissa henkilö on ansainnut eläkettä Suomessa tehdystä työstä, mutta on sittemmin muuttanut ulkomaille. Luokkaan kuuluvat myös maiden välisiä eläkesopimuksia ja ulkomailla karttuneen eläkkeen verotus.",I denna underservicegrupp behandlas pensionskonsekvenserna för finska medborgares arbete utomlands och situationer där personer intjänat pension för arbete i Finland men som senare flyttat utomlands. Gruppen omfattar också pensionsavtal mellan länder och beskattning av pension som intjänats utomlands.,This service subclass contains the pension effects of work performed abroad by Finnish citizens and also situations where a person has earned a pension for work performed in Finland but has since moved abroad. The class also includes pension agreements between countries and the taxation of pensions accrued abroad.,,,,
v1125,4aad6631-2a2f-47a5-a84c-86883374e9d4,VALID,Suomessa pysyvästi asuvan ulkomaalaisen eläketurva Suomessa,Pensionsskydd för utländska medborgare som är permanent bosatta i Finland,Pension security in Finland for foreigners who are permanently resident in the country,Tässä palvelualaluokassa käsitellään Suomessa asuvan ja työskentelevän ulkomaan kansalaisen oikeuksia suomalaiseen eläkejärjestelmään ja -etuuksiin.,I denna underservicegrupp behandlas rätten till finländska pensionssystem och -förmåner för utländska medborgare som bor och arbetar i Finland.,This service subclass contains the rights of a foreign citizen living and working in Finland to the Finnish pension system and benefits.,,,,
v1126,26a24509-10c3-471f-a9df-75fbf458f59d,VALID,Verotus ja julkinen talous,Beskattning och offentlig ekonomi,Taxation and public finance,Tässä palveluluokassa käsitellään keskeisiin henkilö- ja yritysverotuksen lajeihin sekä valtion ja kuntien talouteen liittyviä asioita palvelujen näkökulmasta.,I denna servicegrupp behandlas de centrala slagen av person- och företagsbeskattningen samt ärenden relaterade till statens och kommunernas ekonomi ur ett serviceperspektiv.,This service class contains issues related to key types of individual and corporate taxation and central and local government finance from the service point of view.,,,,
v1127,dbe819df-d469-4145-8209-e234d650db92,VALID,Henkilöverotus,Personbeskattning,Individual taxation,"Tähän palvelualaluokkaan kuuluvat palvelut, jotka liittyvät ansiotuloista maksettavaan ennakkoveroon, verokorttiin ja veroprosenttien muutoksiin, veroehdotukseen ja -vähennyksiin sekä verolaskureihin. Myös kirkollisvero kuuluu tähän luokkaan.","Denna underservicegrupp omfattar tjänster som anknyter till förskottsskatt på förvärvsinkomst, ändring av skattekort och skattesats, skatteförslag och -avdrag samt skattekalkylatorer. Även kyrkoskatt hör till denna grupp.","This service subclass contains services related to prepayment of tax on an earned income, tax cards and tax rate changes, tax proposals, tax deductions and tax calculators. The class also includes church tax.",,,,
v1128,f48edc23-c4dd-4c0c-a145-27ef2ec63704,VALID,Omaisuuden verotus,Egendomsbeskattning,Net wealth taxation,"Tähän palvelualaluokkaan kuuluvat palvelut, jotka liittyvät omaisuuden verottamiseen. Tähän kuuluvat muun muassa perintöjen, lahjoitusten, vuokratuottojen, myyntivoittojen ja kiinteistöjen verotus. Omaisuusverolaskurit ja vastaavat työkalut kuuluvat tähän luokkaan.","Denna underservicegrupp omfattar tjänster som anknyter till beskattning av egendom. Hit hör bland annat beskattning av arv, gåvor, hyresintäkter, försäljningsvinster och fastigheter. Kalkylatorer för egendomsskatt och motsvarande verktyg hör till denna grupp.","This service subclass contains services related to net wealth taxation. It includes the taxation of inheritances, gifts, rental income, sales profits and properties among other things. It also includes wealth tax calculators and similar tools.",,,,
v1129,d4d0c76e-0a4c-49f7-a5ee-a164260e993b,VALID,Ajoneuvojen verotus,Fordonsbeskattning,Vehicle taxation,"Tähän palvelualaluokkaan kuuluvat palvelut, jotka liittyvät autojen ja ajoneuvojen ostamisen ja maahantuonnin kertaverotukseen (autovero) ja ajoneuvon omistamiseen (ajoneuvovero).",Denna underservicegrupp omfattar tjänster som anknyter till engångsskatter på köp och import av bilar och fordon samt skatter relaterade till ägande av fordon (fordonsskatt).,"This service subclass contains services related to purchasing cars and other vehicles, one-off taxes paid on importation (car tax) and owning a vehicle (vehicle tax).",,,,
v1130,c295e88f-9210-47ed-a871-44767c420e98,VALID,Yritysverotus,Företagsbeskattning,Corporate taxation,"Tähän alapalveluluokkaan kuuluvat yritysverotukseen liittyvät asiat, kuten esimerkiksi veroilmoituksen tekemistä tukevat palvelut.","Denna underservicegrupp omfattar ärenden relaterade till företagsbeskattning, såsom skattedeklarationstjänster.","This service subclass contains issues related to corporate taxation, including services that support the submission of tax returns.",,,,
v1131,8f584e75-6018-4169-9631-18982af530fd,VALID,Julkinen talous ja julkiset hankinnat,Offentlig ekonomi och upphandling,Public finance and public procurements,"Tässä alapalveluluokassa käsitellään palveluja, jotka tarjoavat tietoja valtion ja kuntien talouden tilasta ja kehityksestä. Lisäksi tähän luokkaan kuuluvat ne palvelut, joita tarjotaan yrityksille ja muille toimittajille julkisiin hankintoihin osallistumiseksi ja niistä tiedon saamiseksi.",I denna underservicegrupp behandlas tjänster som tillhandahåller information om läget för statens och kommunernas ekonomi. Dessutom omfattar denna grupp tjänster som tillhandahålls för företag och andra leverantörer och som hjälper dem att delta i offentliga upphandlingar och få information om dem.,This service subclass contains services that provide information on the financial status and development of the local and central government. It also includes services offered to companies and other suppliers to inform them about public tenders and to assist them in participating in public tendering processes.,,,,
v1132,c8cfff1e-4383-475d-aa93-9b3ea9968730,VALID,Yksityinen talous ja rahoitus,Privat ekonomi och finansiering,Private finance and funding,"Tässä palveluluokassa käsitellään yksityishenkilön ja yrityksen rahoitus- ja velka-asioita, konkurssia ja ulosottoa sekä pankkien ja rahamarkkinoiden toimintaa tallettajan, sijoittajan ja rahoituksen hakijan kannalta.","I denna servicegrupp behandlas privatpersoners och företags finansierings- och skuldfrågor, konkurs och utsökning samt bankernas och finansmarknadens funktion med tanke på insättningar, placeringar och finansiering.","This service class contains the financial affairs and debts of individuals and companies, bankruptcies and enforcement as well as the activities of banks and financial markets from the perspective of depositors, investors and applicants for funding.",,,,
v1133,90aab218-7cad-4540-a2e3-f7863314ea4f,VALID,Henkilön talous- ja velkaneuvonta,Ekonomi- och skuldrådgivning för privatpersoner,Financial and debt advisory services for individuals,"Tähän palvelualaluokkaan kuuluvat ne palvelut, jotka on suunnattu joko ennakoivasti yksityishenkilön tai kotitalouden rahankäytön ja talouden hallinnan tueksi tai maksuvaikeuksiin jo joutuneen avuksi.",Denna serviceundergrupp omfattar tjänster som antingen proaktivt stöder privatpersoners eller hushålls ekonomiplanering och -hantering eller som bistår i betalningsproblem.,"This service subclass contains services intended to either proactively support individuals and households in handling money and financial management, or to assist those already facing financial difficulties.",,,,
v1134,6e4012ce-b03b-493d-96be-1ddb7181aca6,VALID,Yrityksen talous- ja velkaneuvonta,Ekonomi- och skuldrådgivning för företag,Financial and debt advisory services for companies,"Tähän luokkaan kuuluu yrityksen taloudelliseen vaikeuksiin liittyvät asiat, kuten esimerkiksi terveyttämisneuvonta ja velkaneuvonta.","Denna grupp omfattar ärenden relaterade till ekonomiska problem hos företag, såsom sanerings- och skuldrådgivning.","This class contains issues related to financial difficulties of companies, including advice on reorganisation and debt management.",,,,
v1135,9322326b-921f-4acd-84e3-d789218eab9e,VALID,Lainat ja luottotiedot,Lån och kredituppgifter,Loans and credit history,"Tässä palvelualaluokassa käsitellään palveluja, jotka liittyvät lainan ottamiseen, takuisiin ja takaisinmaksuun, sosiaaliseen luotonantoon ja sekä luottotietorekisteriin ja maksuhäiriöihin. Luokka sisältää myös sisältää myös yritysten lainoihin liittyvät palvelut.","I denna serviceundergrupp behandlas tjänster som anknyter till upptagande av lån, säkerheter och återbetalning, social kreditgivning och kreditupplysningsregister och betalningsstörningar. Gruppen omfattar också tjänster relaterade till företagens lån.","This service subclass contains services related to borrowing, loan guarantees and repayment, social lending as well as the credit register and defaults of payment. The class also includes services related to business loans.",,,,
v1136,d7563e1f-19ab-4808-aeab-537615db70eb,VALID,Konkurssi,Konkurs,Bankruptcy,"Tässä palvelualaluokassa käsitellään palveluja, jotka liittyvät konkurssin julistamiseen, konkurssihakemukseen, konkurssiasiamiehen tehtäviin ja konkurssiprosessin eri vaiheisiin. Luokkaan kuuluvat sekä luonnollisen henkilön että yrityksen konkurssit.","I denna serviceundergrupp behandlas tjänster relaterade till försättande i konkurs, konkursansökan, konkursombudsmannens uppgifter och olika faser i konkursprocessen. Gruppen omfattar både fysiska personers och företags konkurser.","This service subclass contains services related to declaring bankruptcy, filing for bankruptcy, tasks of the Bankruptcy Ombudsman and different phases of the bankruptcy process. The class includes the bankruptcies of both natural persons and companies.",,,,
v1137,b0050420-0a6a-4015-acf0-58b9da517ae9,VALID,Ulosotto,Utsökning,Enforcement,"Tässä palvelualaluokassa käsitellään palveluja, jotka liittyvät virallisen kehotuksen jälkeenkin maksamattomien maksujen perintään ulosottoviranomaisen kautta.",I denna serviceundergrupp behandlas tjänster relaterade till indrivning av betalningar som är obetalda efter en officiell uppmaning via utsökningsmyndigheten.,This service subclass contains services related to recovery by enforcement authorities of overdue payments that the debtors have not settled despite receiving a formal notice.,,,,
v1138,a001a690-9131-4511-a040-64b6e69f6315,VALID,Pankit,Banker,Banks,"Tähän palvelualaluokkaan kuuluvat ne palvelut, jotka liittyvät pankkien talletus-, lainananto- ja sijoitustoimintaan, sijoitusneuvontaan sekä pankkien toiminnan valvontaan.","Denna serviceundergrupp omfattar tjänster relaterade till bankernas in- och utlåning samt placeringsverksamhet, placeringsrådgivning samt tillsynen av bankernas verksamhet.","This service subclass contains services related to deposit, lending and investment activities of banks, investment advice as well as supervision of banks’ operations.",,,,
v1139,fb918171-81bb-4d92-b77b-eedc488bf01d,VALID,Talletusten ja sijoitusten suoja,Insättnings- och placeringsskydd,Protection of deposits and investments,"Tässä palvelualaluokassa käsitellään palveluja, jotka liittyvät tallettajille ja piensijoittajille tarkoitettuihin talletussuojamenettelyihin.",I denna serviceundergrupp behandlas tjänster relaterade till insättningsskydd för sparare och småplacerare.,This service subclass contains services related to deposit guarantee procedures intended for depositors and small investors.,,,,
v1140,2e710e9f-6331-4f7d-a4f8-b0ba01db62b6,VALID,Yritysrahoitus,Företagsfinansiering,Business funding,"Tähän luokkaan kuuluu kaikki yrityksen rahoitukseen liittyvät asiat kuten esimerkiksi yritystuet, kehittämisavustukset, lainat, takuut sekä hanke- ja kansainvälistymisrahoitus.","Denna grupp omfattar alla ärenden relaterade till företagsfinansiering såsom företagsstöd, utvecklingsbidrag, lån, garantier samt projekt- och internationaliseringsfinansiering.","This class contains all aspects of business funding, including business subsidies, development grants, loans, guarantees as well as project and internationalisation funding.",,,,
v1141,03866d88-6323-405b-92de-0cd30a1372fd,VALID,Rahoitusmarkkinat,Finansmarknaden,Financial market,"Tähän palvelualaluokkaan kuuluvat ne palvelut, jotka liittyvät pankkien ulkopuolella tapahtuvaan lainanantoon ja sijoitusneuvontaan, tämän toiminnan valvontaan sekä kuluttajan oikeuksiin näiden palvelujen käyttäjänä. Luokkaan kuuluvat myös korkotasoon liityvät tietopalvelut.","Denna serviceundergrupp omfattar tjänster relaterade till utlåning och placeringsrådgivning utanför bankerna, tillsyn av denna verksamhet samt konsumenternas rättigheter som användare av dessa tjänster. Gruppen omfattar också informationstjänster relaterade till räntenivån.","This service subclass contains services related to lending and advisory services provided by actors other than banks, the supervision of these activities and consumers’ rights as users of these services. The class also includes information services related to interest rates.",,,,
v1142,723dd3cc-c5c1-4049-a212-d809d9230b49,VALID,Liikenne,Trafik,Transport,"Tässä palveluluokassa käsitellään palvelujen näkökulmasta julkista liikennettä, ajoneuvojen rekisteri-, verotus- ja lupa-asioita, ammattiliikennettä sekä liikenneturvallisuutta. Matkailu- ja karttapalvelut eivät kuulu tähän luokkaan vaan ne käsitellään omissa palveluluokissaan.","I denna servicegrupp behandlas kollektivtrafik, registrerings-, beskattnings- och tillståndsärenden för fordon, yrkestrafik och trafiksäkerhet ur ett serviceperspektiv. Rese- och karttjänster ingår inte i denna grupp utan behandlas i egna servicegrupper.","This service class contains public transport, registration, tax and permit issues related to vehicles, professional transport and traffic safety from the service point of view. Tourism and map services are excluded from this class and have their own service classes.",,,,
v1143,17ac9644-8945-4d8c-8a7b-ccbf86e77c87,VALID,Ajoneuvot ja rekisteröinti tieliikenteessä,Fordon och registrering för vägtrafik,Vehicles and registration in road transport,"Tähän palvelualaluokkaan kuuluvat tieliikenneajoneuvojen omistamista, maahantuontia, rekisteröintiä ja liikennekelpoisuutta koskevat palvelut.","Denna serviceundergrupp omfattar tjänster relaterade till ägande, import och registrering av fordon för vägtrafik samt fordonens trafikduglighet.","This service subclass contains services related to the ownership, importation, registration and road-worthiness of road transport vehicles.",,,,
v1144,1fc5db8f-15c8-4154-8f7f-7c731fa8bafa,VALID,Ajo-opetus ja ajoluvat tieliikenteessä,Körundervisning och körtillstånd i vägtrafik,Driving instruction and driving permits in road transport,Tähän palvelualaluokkaan kuuluvat tieliikenneajoneuvojen ajoluvat ja näihin lupiin liittyvä opetus ja lupien suorittamistutkinnot.,"Denna serviceundergrupp omfattar körtillstånd, undervisning och tillståndsexamina för fordon i vägtrafik.",This service subclass contains driving permits for road transport vehicles as well as instruction leading to these permits and examinations in which the permits are granted.,,,,
v1145,3e56ed7d-2ee7-497a-bf3f-3253130b32a6,VALID,Liikenneturvallisuus ja liikennesäännöt tieliikenteessä,Trafiksäkerhet och trafikregler i vägtrafik,Traffic safety and rules of the road,Tässä palvelualaluokassa käsitellään liikenneturvallisuutta sekä liikennesääntöjen että suositusten ja ohjeiden kannalta. Luokkaan kuuluvat myös liikenteen häiriö- ja vaaratiedotuspalvelut ja liikenteen säätietopalvelut.,"I denna serviceundergrupp behandlas trafiksäkerhet med tanke på trafikregler, rekommendationer och anvisningar. Gruppen omfattar också trafikinformationstjänster för störningar och risker samt meteorologiska tjänster för trafiken.",This service subclass contains road safety from the perspective of both rules of the road and recommendations and instructions. The class also includes information services on traffic disruptions and hazards and traffic weather information services.,,,,
v1146,3209a56d-24b1-40c4-bb79-6a741c9863c8,VALID,Pysäköinti,Parkering,Parking,Tähän palvelualaluokkaan kuuluvat paikalliset pysäköintialueet ja niiden tiedot sekä sähköiset pysäköintipalvelut.,Denna serviceundergrupp omfattar lokala parkeringsområden och information om dem samt elektroniska parkeringstjänster.,This service subclass contains local parking areas and their information as well as electronic parking services.,,,,
v1147,23bdbd81-f585-4c7d-96b6-250651f61e23,VALID,Joukkoliikenne,Kollektivtrafik,Public transport,"Tähän palvelualaluokkaan kuuluvat joukkoliikenteen aikataulut, reitit, asematiedot, hinnat ja alennusoikeudet.","Denna serviceundergrupp omfattar tidtabeller, rutter, stationsuppgifter, priser och rabatter relaterade till kollektivtrafik.","This service subclass contains public transport timetables, routes, stations, prices and rights to discounts.",,,,
v1148,cba6167d-8deb-464a-a045-754b03fe6743,VALID,Ammattiliikenne tieliikenteessä,Professionell vägtrafik,Professional road transport,Tässä palvelualaluokassa käsitellään tieliikenteen ammattikuljettajien ja muiden tieliikenteeseen liittyvien ammattien koulutusta ja pätevyyksiä sekä erikoiskuljetuksiin liittyviä asioita.,I denna serviceundergrupp behandlas utbildning av och behörighet för yrkesförare i vägtrafik och andra trafikrelaterade yrken samt specialtransporter.,This service subclass contains the training and qualifications of professional drivers in road transport and other professions related to road transport as well as issues related to the transport of oversize loads.,,,,
v1149,36c867e8-24e8-441d-8cc9-146476827878,VALID,Tienpito,Väghållning,Road maintenance,Tähän palvelualaluokkaan kuuluvat teiden hoitoluokat ja niiden mukainen peruskunnossapito sekä teiden parannustyöt ja näihin saatavat avustukset.,Denna serviceundergrupp omfattar vägarnas underhållsklasser och grundläggande vägunderhåll enligt dem samt förbättringsarbeten på vägar och bidrag för dem.,"This service subclass contains road maintenance classes, basic maintenance in accordance to the classes as well as road improvements and grants available for them.",,,,
v1150,eed4db7e-5126-4bfd-b3fc-d416368390a9,VALID,Vesiliikenne,Vattentrafik,Waterborne transport,"Tähän palvelualaluokkaan kuuluvat vesiajoneuvojen kelpoisuus- ja turvallisuusvaatimukset, rekisteri- ja omistusasiat, satamapalvelut aluksille, vesiliikenteen turvallisuus ja eräisiin alustyyppeihin liittyvät kuljettajakelpoisuudet ja -luvat.","Denna serviceundergrupp omfattar behörighets- och säkerhetskrav på vattenfordon, registrerings- och innehavsärenden, hamntjänster för fartyg, säkerhet i vattentrafik och förarbehörighet och -tillstånd för vissa fartygstyper.","This service subclass contains condition and safety requirements applicable to watercraft, registration and ownership issues, port services for vessels, safety of waterborne transport and operator qualifications and licences for certain vessel types.",,,,
v1151,7098c2b9-41b5-4304-9b63-b530ef972ec7,VALID,Ilmailu,Luftfart,Aviation,"Tähän palvelualaluokkaan kuuluvat lentokoulutus ja lentolupakirjat, lennonjohtotehtävien koulutus, lentoalusten rekisteri- ja omistusasiat, ilmailun turvallisuus ja lentokenttäpalvelut ilmailijoille.","Denna serviceundergrupp omfattar flygutbildning och flyglicenser, utbildning i flygledaruppgifter, registrerings- och innehavsärenden för luftfartyg, säkerhet i luftfart och flygplatstjänster för flygare.","This service subclass contains pilot training and pilot’s licences, training for air traffic control tasks, registration and ownership issues of aircraft, aviation safety and airport services for aviators.",,,,
v1152,fcd1444b-8cec-40dc-9b66-22db74aceb2a,VALID,Matkailu,Turism,Tourism,"Tässä palveluluokassa käsitellään matkailupalveluja, matkustusasiakirjoja, rajapalveluja, matkailijan turvallisuutta ja Suomen ulkomaan-edustustojen palveluja.","I denna servicegrupp behandlas resetjänster, resedokument, gränstjänster, turisters säkerhet och finländska beskickningars tjänster.","This service class contains tourism services, travel documents, border services, traveller’s safety and the services of Finland's foreign missions.",,,,
v1153,ef6f2f0d-3acf-4670-b646-1f023b952f86,VALID,Matkailu Suomessa,Turism i Finland,Tourism in Finland,"Tähän palvelualaluokkaan kuuluvat kotimaan matkailun tieto-, reitti- ja majoituspalvelut.","Denna serviceundergrupp omfattar informations-, rutt- och logitjänster i Finland.","This service subclass contains information, journey planning and accommodation services in domestic tourism.",,,,
v1154,25699859-e2ce-45d3-b555-4b4f2e4d0127,VALID,Matkailu EU-alueella,Turism i EU-området,Tourism in the EU area,Tähän palvelualaluokkaan kuuluvat EU-kansalaisen oikeudet matkailijana EU-alueella sekä henkilökohtaisen tuonnin ja viennin säännöt ja rajoitukset.,Denna serviceundergrupp omfattar EU-medborgares rättigheter som turist i EU-området samt regler för och begränsningar i privat import och export.,This service subclass contains an EU citizen’s rights as a tourist in the EU area as well as the rules and restrictions of importation for personal use.,,,,
v1155,4fd1e5e3-6b34-41e1-b016-2eee05abe9d3,VALID,Matkailu EU-alueen ulkopuolella,Turism utanför EU-området,Tourism outside the EU area,"Tähän palvelualaluokkaan kuuluvat muun muassa eri maita koskevat matkustustiedotteet ja suositeltavat rokotukset, turvallisuusohjeet, kansainvälinen ajokortti, viisumikäytännöt ja sähköiset matkustajailmoitukset kuten ESTA ja eTA.","Denna serviceundergrupp omfattar bland annat resemeddelanden och rekommenderade vacciner, säkerhetsanvisningar, internationellt körkort, visumpraxis och elektroniska resenärsmeddelanden såsom ESTA och eTA.","This service subclass includes travel advisories for different countries and recommended vaccinations, safety instructions, international driving licences, visa practices and electronic travel authorisations, such as ESTA and eTA.",,,,
v1156,6b1b4e68-7078-4835-830c-4871d587ba63,VALID,Kartat,Kartor,Maps,Tässä palveluluokassa käsitellään erilaisia karttapalveluja sekä palveluna tarjottavia paikkatietoaineistoja.,I denna servicegrupp behandlas olika karttjänster och tjänster för geodatamaterial.,This service class contains different map services and geographic information offered as a service.,,,,
v1157,c4f91edb-0f43-47df-8672-80bc9caa0156,VALID,Kartat ja karttapalvelut,Kartor och karttjänster,Maps and map services,"Tähän palvelualaluokkaan kuuluvat yleiset, sähköisinä palveluina tarjottavat valtakunnalliset ja alueelliset maasto- ja opaskartat, teemakarttapalvelut kuten retkeilykartat, reitityspalvelut sekä vesi- ja ilmaliikenteen erityiskarttapalvelut.","Denna serviceundergrupp omfattar allmänna elektroniska tjänster, såsom nationella och regionala terräng- och guidekartor, tematiska karttjänster såsom vandringskartor, ruttjänster samt särskilda karttjänster för vatten- och lufttrafik.","This service subclass contains national and regional topographic and guide maps offered as public electronic services, thematic map services, such as hiking maps, journey planning services and specialised map services for waterborne traffic and air traffic.",,,,
v1158,79e9e68f-6b3b-441e-a13f-90d3a5e62358,VALID,Paikkatietopalvelut,Geodatatjänster,Geographic information services,"Tähän palvelualaluokkaan kuuluvat palvelut, jotka tarjoavat datamuodossa olevaa paikkatietoa Suomen rakennetusta ja luonnonympäristöstä.",Denna serviceundergrupp omfattar geodatatjänster i dataformat om den bebyggda och naturliga miljön i Finland.,This service subclass contains services that offer geographic information in data format on built and natural environments in Finland.,,,,
v1159,437f7edc-e8b1-4633-9de0-9b71e664576b,VALID,Turvallisuus,Säkerhet,Safety and security,"Tässä palveluluokassa käsitellään onnettomuuksiin, rikoksiin ja kriisiajan turvallisuuteen liittyviä palveluja niin kansalaisen kuin yhteiskunnan kannalta. Luokka kattaa ennalta ehkäisevän toiminnan, pelastuspalvelut ja koko maan turvallisuuteen liittyvän toiminnan.","I denna servicegrupp behandlas tjänster relaterade till olyckor, brott och säkerhet i kristider med tanke på både medborgarna och samhället. Gruppen omfattar all förebyggande verksamhet, räddningstjänster och verksamhet som fokuserar på hela landets säkerhet.","This service class contains services related to accidents, crime and safety in a time of crisis from the perspective of both citizens and society. The class includes preventive activities, rescue services and activities related to national security.",,,,
v1160,69926ce8-fd01-453e-b311-198ae3c4dd84,VALID,Palo- ja pelastustoiminta,Brand- och räddningsverksamhet,Fire and rescue activities,Tähän alapalveluluokkaan kuuluvat paikalliset ja valtakunnalliset palo- ja pelastuspalvelut.,Denna serviceundergrupp omfattar lokala och nationella brand- och räddningstjänster.,This service subclass contains local and national fire and rescue services.,,,,
v1161,90fb7620-3b4f-445f-ba56-7f6eb542b0da,VALID,Väestönsuojelu,Befolkningsskydd,Civil defence,"Tähän alapalveluluokkaan liittyvät väestönsuojat, väestönsuojelukoulutus ja muu siviiliväestön kriisitilanteessa suojeluun liittyvät palvelut ja toiminta sekä huoltovarmuus.","Denna serviceundergrupp omfattar skyddsrum, utbildning i befolkningsskydd och övriga tjänster och funktioner relaterade till skyddet av befolkningen i krissituationer samt försörjningsberedskap.","This service subclass is associated with civil defence shelters, civil defence training and other services and activities related to the protection of civilians in a crisis as well as security of supply.",,,,
v1162,0cf7e822-0013-4784-9549-a613b2e1a16d,VALID,Hätänumerot ja onnettomuustilanteet,Nödnummer och olyckor,Emergency numbers and accidents,"Tässä palvelualaluokassa käsitellään 112-numeroa, eri viranomaisten erityisiä hätäpalvelunumeroja sekä onnettomuuksiin liittyviä pelastus- ja kriisipalveluja niin paikan päällä kuin onnettomuuden jälkihoidossa. Myös onnettomuuksien ehkäisemiseen tähtäävät palvelut ja onnettomuustutkinta kuuluvat tähän luokkaan.","I denna serviceundergrupp behandlas det allmänna nödnumret 112, olika myndigheters särskilda nödnummer samt räddnings- och kristjänster i samband med olyckor både omedelbart och efter olyckan. Även tjänster som siktar på att förebygga olyckor och olycksutredning hör till denna grupp.","This service subclass contains the 112 emergency number, specific emergency service numbers of different authorities as well as rescue and crisis services related to accidents both on scene and as part of post-incident management. The class also includes services aiming to prevent accidents and accident investigation.",,,,
v1164,26621316-ae14-415b-be24-cd3841841672,VALID,Maanpuolustus,Försvar,National defence,"Tässä palvelualaluokassa käsitellään asevelvollisuutta, asevelvollisen palveluja ja tukia, asevelvollisuuden suorittamisen tapoja, palveluksessa tapahtuneiden tapaturmien korvaamista sekä reserviläistoimintaa, vapaaehtoista maanpuolustusta ja kertausharjoituksia.","I denna serviceundergrupp behandlas värnplikt, tjänster och stödformer för värnpliktiga, sätt på vilka värnplikten kan fullgöras, ersättningar för olyckor i tjänst samt reservistverksamhet, frivilligt försvar och repetitionsövningar.","This service subclass contains the military service, services and support forms for conscripts, ways of completing military service, compensation for accidents sustained while in service as well as reservist activities, voluntary national defence and reserve training.",,,,
v1165,1225a979-1d28-41fe-826d-7dde9d2c0e34,VALID,Rajavalvonta,Gränsbevakning,Border guarding,"Tähän alapalveluluokkaan kuuluu rajavartiolaitoksen toiminta: rajanylitykseen liittyvät asiat, rajatarkastukset, rajavyöhykelupa.","Denna serviceundergrupp omfattar gränsbevakningsväsendets verksamhet: ärenden relaterade till gränsövergång, gränskontroller, tillstånd för gränszon.","This service subclass contains the activities of the Border Guard: border crossing matters, border checks and border zone permits.",,,,
v1166,c24d5737-0b8e-459b-9a50-0e2b0819e940,VALID,Säteilyturvallisuus,Strålsäkerhet,Radiation safety,"Tähän alapalveluluokkaan kuuluvat Säteilyturvakeskuksen mittaus-, ohje- ja tietopalvelut sekä paikalliset asumisympäristön säteilymittauspalvelut.","Denna serviceundergrupp omfattar Strålskyddscentralens mätnings-, rådgivnings- och informationstjänster samt lokala tjänster för mätning av strålning i boendemiljöer.","This service subclass contains the measurement, instruction and information services of the Finnish Radiation and Nuclear Safety Authority and local services for measuring radiation in the living environment.",,,,
